(228.0,343.0,18.0)
(229.0,343.0,18.0)
(230.0,343.0,19.0)
(231.0,344.0,18.0)
(232.0,344.0,18.0)
(233.0,344.0,19.0)
(234.0,344.0,19.0)
(235.0,344.0,18.0)
(236.0,343.0,17.0)
(237.0,343.0,17.0)
(238.0,344.0,17.0)
(239.0,344.0,17.0)
(240.0,343.0,18.0)
(241.0,343.0,18.0)
(242.0,343.0,18.0)
(243.0,343.0,18.0)
(244.0,343.0,18.0)
(245.0,343.0,17.0)
(246.0,343.0,17.0)
(247.0,343.0,17.0)
(248.0,343.0,17.0)
(249.0,343.0,17.0)
(250.0,343.0,17.0)
(251.0,343.0,17.0)
(252.0,343.0,17.0)
(253.0,343.0,17.0)
(254.0,343.0,17.0)
(255.0,343.0,17.0)
(256.0,343.0,17.0)
(257.0,343.0,17.0)
(258.0,342.0,17.0)
(259.0,342.0,17.0)
(260.0,342.0,18.0)
(261.0,341.0,18.0)
(261.0,341.0,18.0)
(262.0,342.0,18.0)
(263.0,341.0,18.0)
(264.0,341.0,17.0)
(265.0,340.0,17.0)
(266.0,339.0,18.0)
(267.0,339.0,18.0)
(268.0,339.0,18.0)
(269.0,339.0,18.0)
(270.0,338.0,19.0)
(271.0,337.0,18.0)
(272.0,336.0,18.0)
(272.0,335.0,18.0)
(273.0,334.0,18.0)
(274.0,335.0,19.0)
(275.0,334.0,19.0)
(276.0,333.0,19.0)
(277.0,332.0,19.0)
(278.0,331.0,19.0)
(279.0,331.0,18.0)
(280.0,330.0,17.0)
(281.0,329.0,17.0)
(282.0,328.0,17.0)
(283.0,327.0,18.0)
(284.0,327.0,18.0)
(285.0,327.0,18.0)
(285.0,327.0,18.0)
(286.0,327.0,19.0)
(287.0,326.0,18.0)
(288.0,326.0,17.0)
(289.0,326.0,17.0)
(290.0,326.0,17.0)
(291.0,326.0,18.0)
(292.0,326.0,17.0)
(293.0,326.0,18.0)
(294.0,326.0,18.0)
(295.0,326.0,19.0)
(296.0,325.0,19.0)
(297.0,325.0,19.0)
(298.0,325.0,19.0)
(299.0,325.0,18.0)
(300.0,325.0,17.0)
(301.0,325.0,17.0)
(302.0,324.0,18.0)
(303.0,324.0,18.0)
(304.0,324.0,18.0)
(305.0,323.0,18.0)
(306.0,323.0,18.0)
(307.0,323.0,18.0)
(308.0,323.0,18.0)
(309.0,322.0,18.0)
(310.0,321.0,19.0)
(311.0,320.0,20.0)
(312.0,320.0,20.0)
(313.0,320.0,20.0)
(314.0,319.0,20.0)
(315.0,319.0,19.0)
(316.0,319.0,19.0)
(317.0,319.0,18.0)
(318.0,319.0,17.0)
(319.0,318.0,17.0)
(320.0,318.0,18.0)
(321.0,317.0,18.0)
(322.0,317.0,19.0)
(323.0,317.0,19.0)
(324.0,317.0,19.0)
(325.0,317.0,19.0)
(326.0,316.0,18.0)
(327.0,316.0,18.0)
(328.0,316.0,18.0)
(329.0,316.0,18.0)
(330.0,316.0,18.0)
(330.0,316.0,18.0)
(331.0,316.0,18.0)
(332.0,315.0,19.0)
(333.0,314.0,18.0)
(334.0,313.0,18.0)
(335.0,312.0,19.0)
(336.0,312.0,19.0)
(337.0,311.0,19.0)
(338.0,311.0,19.0)
(339.0,311.0,20.0)
(340.0,311.0,20.0)
(341.0,311.0,20.0)
(342.0,311.0,19.0)
(343.0,311.0,20.0)
(344.0,311.0,20.0)
(345.0,312.0,20.0)
(346.0,312.0,20.0)
(347.0,311.0,20.0)
(348.0,310.0,21.0)
(349.0,310.0,22.0)
(350.0,310.0,22.0)
(351.0,310.0,22.0)
(352.0,310.0,22.0)
(353.0,309.0,22.0)
(354.0,309.0,21.0)
(355.0,310.0,21.0)
(356.0,310.0,21.0)
(357.0,309.0,21.0)
(358.0,308.0,21.0)
(359.0,308.0,21.0)
(360.0,308.0,21.0)
(360.0,308.0,21.0)
(361.0,308.0,22.0)
(362.0,308.0,23.0)
(363.0,307.0,23.0)
(364.0,307.0,23.0)
(365.0,308.0,23.0)
(366.0,308.0,23.0)
(367.0,308.0,23.0)
(368.0,308.0,23.0)
(369.0,308.0,23.0)
(370.0,308.0,23.0)
(371.0,308.0,23.0)
(372.0,308.0,22.0)
(373.0,308.0,22.0)
(374.0,308.0,22.0)
(375.0,308.0,23.0)
(376.0,307.0,23.0)
(377.0,307.0,22.0)
(378.0,306.0,22.0)
(379.0,306.0,22.0)
(380.0,306.0,22.0)
(381.0,306.0,23.0)
(382.0,306.0,23.0)
(383.0,305.0,23.0)
(384.0,305.0,24.0)
(385.0,305.0,24.0)
(386.0,305.0,24.0)
(387.0,306.0,24.0)
(388.0,307.0,24.0)
(389.0,307.0,24.0)
(390.0,308.0,24.0)
(391.0,308.0,24.0)
(392.0,309.0,24.0)
(393.0,309.0,24.0)
(394.0,309.0,24.0)
(395.0,310.0,24.0)
(396.0,310.0,24.0)
(397.0,310.0,24.0)
(398.0,310.0,24.0)
(399.0,311.0,24.0)
(400.0,311.0,24.0)
(401.0,312.0,24.0)
(402.0,312.0,24.0)
(403.0,312.0,24.0)
(404.0,312.0,24.0)
(405.0,312.0,24.0)
(406.0,312.0,24.0)
(407.0,312.0,24.0)
